STATION,NAME,DATE,AWND,PRCP,TAVG,TMAX,TMIN
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",8/1/2017,7.61,0,87,95,80
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",8/2/2017,4.7,0.26,83,91,77
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",8/3/2017,5.14,0,82,94,77
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",8/4/2017,4.25,0,85,95,77
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",8/5/2017,5.14,0.29,84,95,77
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",8/6/2017,7.61,0.03,85,94,80
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",8/7/2017,4.25,0.58,84,89,76
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",8/8/2017,5.37,0.65,82,89,76
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",8/9/2017,6.04,0,85,95,78
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",8/10/2017,5.14,0,87,97,80
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",8/11/2017,6.26,0.03,88,97,81
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",8/12/2017,6.93,0,88,99,81
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",8/13/2017,8.72,0,88,98,80
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",8/14/2017,8.95,0,88,98,81
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",8/15/2017,9.4,0,88,98,81
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",8/16/2017,9.17,0.01,88,97,82
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",8/17/2017,8.28,0,89,99,82
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",8/18/2017,5.82,0.01,88,100,80
